2020-06-15 08:31:09,735 | DEBUG | ulauncher.utils.semver: replace_xranges() | replaceXRanges >=2.0.0 <3.0.0 False
2020-06-15 08:31:09,735 | DEBUG | ulauncher.utils.semver: repl() | xrange >=2.0.0 >=2.0.0 >= 2 0 0 None
2020-06-15 08:31:09,735 | DEBUG | ulauncher.utils.semver: repl() | xrange gtlt=>= any_x=False
2020-06-15 08:31:09,735 | DEBUG | ulauncher.utils.semver: repl() | xRange return >=2.0.0
2020-06-15 08:31:09,735 | DEBUG | ulauncher.utils.semver: repl() | xrange <3.0.0 <3.0.0 < 3 0 0 None
2020-06-15 08:31:09,735 | DEBUG | ulauncher.utils.semver: repl() | xrange gtlt=< any_x=False
2020-06-15 08:31:09,736 | DEBUG | ulauncher.utils.semver: repl() | xRange return <3.0.0
2020-06-15 08:31:09,736 | DEBUG | ulauncher.utils.semver: parse_comparator() | xrange >=2.0.0 <3.0.0
2020-06-15 08:31:09,736 | DEBUG | ulauncher.utils.semver: replace_stars() | replaceStars >=2.0.0 <3.0.0 False
2020-06-15 08:31:09,736 | DEBUG | ulauncher.utils.semver: parse_comparator() | stars >=2.0.0 <3.0.0
2020-06-15 08:31:09,736 | DEBUG | ulauncher.utils.semver: __init__() | comparator: >=2.0.0 False
2020-06-15 08:31:09,736 | DEBUG | ulauncher.utils.semver: parse() | parse comp=>=2.0.0
2020-06-15 08:31:09,736 | DEBUG | ulauncher.utils.semver: __init__() | SemVer 2.0.0, False
2020-06-15 08:31:09,736 | DEBUG | ulauncher.utils.semver: __init__() | comparator: <3.0.0 False
2020-06-15 08:31:09,736 | DEBUG | ulauncher.utils.semver: parse() | parse comp=<3.0.0
2020-06-15 08:31:09,736 | DEBUG | ulauncher.utils.semver: __init__() | SemVer 3.0.0, False
2020-06-15 08:31:09,736 | DEBUG | ulauncher.utils.semver: format() | Range format >=2.0.0 <3.0.0
2020-06-15 08:31:09,737 | INFO | ulauncher.api.server.ExtensionRunner: _run_process() | Extension "com.github.pywkm.ulauncher-spotify" started. PID 2218
2020-06-15 08:31:09,737 | DEBUG | ulauncher.utils.semver: __init__() | SemVer 2.0.0, False
2020-06-15 08:31:09,737 | DEBUG | ulauncher.utils.semver: test() | Comparator, test 2.0.0, False
2020-06-15 08:31:09,737 | DEBUG | ulauncher.utils.semver: cmp() | cmp: >=
2020-06-15 08:31:09,737 | DEBUG | ulauncher.utils.semver: compare() | SemVer.compare 2.0.0 False 2.0.0
2020-06-15 08:31:09,737 | DEBUG | ulauncher.utils.semver: compare() | compare result 0
2020-06-15 08:31:09,737 | DEBUG | ulauncher.utils.semver: test() | Comparator, test 2.0.0, False
2020-06-15 08:31:09,737 | DEBUG | ulauncher.utils.semver: cmp() | cmp: <
2020-06-15 08:31:09,737 | DEBUG | ulauncher.utils.semver: compare() | SemVer.compare 2.0.0 False 3.0.0
2020-06-15 08:31:09,737 | DEBUG | ulauncher.utils.semver: compare() | compare result -1
2020-06-15 08:31:09,742 | DEBUG | ulauncher.utils.semver: parse_range() | range ^2.0.0 False
2020-06-15 08:31:09,742 | DEBUG | ulauncher.utils.semver: parse_range() | hyphen replace ^2.0.0
2020-06-15 08:31:09,742 | INFO | ulauncher.api.server.ExtensionRunner: _run_process() | Extension "com.github.brpaz.ulauncher-pwgen" started. PID 2220
2020-06-15 08:31:09,743 | DEBUG | ulauncher.utils.semver: parse_range() | comparator trim ^2.0.0, re.compile('(\\s*)((?:<|>)?=?)\\s*([v=\\s]*([0-9]+)\\.([0-9]+)\\.([0-9]+)(?:-?((?:[0-9]+|\\d*[a-zA-Z-][a-zA-Z0-9-]*)(?:\\.(?:[0-9]+|\\d*[a-zA-Z-][a-zA-Z0-9-]*))*))?(?:\\+([0-9A-Za-z-]+(?:\\.[0-9A-Za-z-]+)*))?|[v, re.MULTILINE)
2020-06-15 08:31:09,743 | DEBUG | ulauncher.utils.semver: parse_comparator() | comp ^2.0.0
2020-06-15 08:31:09,744 | DEBUG | ulauncher.utils.semver: repl() | caret ^2.0.0 ^2.0.0 2 0 0 None
2020-06-15 08:31:09,744 | DEBUG | ulauncher.utils.semver: repl() | caret return >=2.0.0 <3.0.0
2020-06-15 08:31:09,744 | DEBUG | ulauncher.utils.semver: parse_comparator() | caret >=2.0.0 <3.0.0
2020-06-15 08:31:09,744 | DEBUG | ulauncher.utils.semver: parse_comparator() | tildes >=2.0.0 <3.0.0
2020-06-15 08:31:09,744 | DEBUG | ulauncher.utils.semver: replace_xranges() | replaceXRanges >=2.0.0 <3.0.0 False
2020-06-15 08:31:09,744 | DEBUG | ulauncher.utils.semver: repl() | xrange >=2.0.0 >=2.0.0 >= 2 0 0 None
2020-06-15 08:31:09,744 | DEBUG | ulauncher.utils.semver: repl() | xrange gtlt=>= any_x=False
2020-06-15 08:31:09,744 | DEBUG | ulauncher.utils.semver: repl() | xRange return >=2.0.0
2020-06-15 08:31:09,744 | DEBUG | ulauncher.utils.semver: repl() | xrange <3.0.0 <3.0.0 < 3 0 0 None
2020-06-15 08:31:09,744 | DEBUG | ulauncher.utils.semver: repl() | xrange gtlt=< any_x=False
2020-06-15 08:31:09,744 | DEBUG | ulauncher.utils.semver: repl() | xRange return <3.0.0
2020-06-15 08:31:09,744 | DEBUG | ulauncher.utils.semver: parse_comparator() | xrange >=2.0.0 <3.0.0
